Sr.No.,Merit (Score),Institute Code,Choice Code,Course Name,"Exam (JEE/MHT-
CET)",Type,Seat Type
316.0,15544 (75.8074167),3211,321161210,Mechanical Engineering,JEE,AI to AI,AI
317.0,15709 (75.6240321),5139,513924610,Information Technology,JEE,AI to AI,AI
318.0,15715 (75.6240321),6622,662299510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
319.0,15739 (75.5437861),6187,618724610,Information Technology,JEE,AI to AI,AI
320.0,15790 (75.5208082),5172,517291210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
,,,,Computer Science and Engineering,,,
321.0,15796 (75.5208082),3196,319692010,(Internet of Things and Cyber Security,JEE,AI to AI,AI
,,,,Including Block Chain Technology),,,
,,,,Computer Science and,,,
322.0,15896 (75.3232443),3196,319691110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
323.0,15943 (75.1866411),1120,112024210,Computer Science and Engineering,JEE,AI to AI,AI
324.0,16026 (75.1591082),4649,464929310,Electrical Engineering,JEE,AI to AI,AI
325.0,16041 (75.1591082),3201,320119110,Civil Engineering,JEE,AI to AI,AI
326.0,16055 (75.1591082),5303,530319110,Civil Engineering,JEE,AI to AI,AI
327.0,16064 (75.1591082),6325,632524510,Computer Engineering,JEE,AI to AI,AI
328.0,16085 (75.1591082),5121,512137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
329.0,16089 (75.1591082),6794,679461210,Mechanical Engineering,JEE,AI to AI,AI
330.0,16090 (75.1591082),6307,630724510,Computer Engineering,JEE,AI to AI,AI
331.0,16163 (75.1355121),6311,631124510,Computer Engineering,JEE,AI to AI,AI
332.0,16194 (75.1355121),6250,625024210,Computer Science and Engineering,JEE,AI to AI,AI
333.0,16201 (75.1355121),3210,321024510,Computer Engineering,JEE,AI to AI,AI
334.0,16277 (75.0900995),3204,320429310,Electrical Engineering,JEE,AI to AI,AI
335.0,16325 (75.0900995),3219,321929310,Electrical Engineering,JEE,AI to AI,AI
336.0,16363 (74.9989387),5121,512129310,Electrical Engineering,JEE,AI to AI,AI
337.0,16385 (74.9989387),3218,321824510,Computer Engineering,JEE,AI to AI,AI
338.0,16431 (74.9711649),6272,627261210,Mechanical Engineering,JEE,AI to AI,AI
339.0,16444 (74.9711649),6273,627360610,Production Engineering,JEE,AI to AI,AI
340.0,16492 (74.8831752),6185,618524520,Computer Engineering,JEE,AI to AI,AI
341.0,16515 (74.8024546),4123,412324610,Information Technology,JEE,AI to AI,AI
342.0,16548 (74.8024546),4123,412300210,Aeronautical Engineering,JEE,AI to AI,AI
343.0,16563 (74.8024546),6206,620624610,Information Technology,JEE,AI to AI,AI
344.0,16568 (74.8024546),6834,683424510,Computer Engineering,JEE,AI to AI,AI
345.0,16606 (74.8024546),6177,617737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
346.0,16629 (74.8024546),3475,347537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
347.0,16643 (74.7839723),4138,413824610,Information Technology,JEE,AI to AI,AI
348.0,16653 (74.7839723),6772,677224610,Information Technology,JEE,AI to AI,AI
349.0,16676 (74.7744830),6282,628237220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
350.0,16748 (74.7728567),6622,662292110,"Artificial Intelligence and Machine
Learning",JEE,AI to AI,AI
351.0,16775 (74.4172228),3208,320837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
352.0,16798 (74.4172228),6310,631024610,Information Technology,JEE,AI to AI,AI
353.0,16851 (74.1593729),3223,322324510,Computer Engineering,JEE,AI to AI,AI
354.0,16866 (74.1593729),6822,682261210,Mechanical Engineering,JEE,AI to AI,AI
355.0,16954 (74.0207333),6283,628324210,Computer Science and Engineering,JEE,AI to AI,AI
356.0,17045 (74.0129969),6146,614661210,Mechanical Engineering,JEE,AI to AI,AI
357.0,17086 (74.0129969),5151,515124510,Computer Engineering,JEE,AI to AI,AI
358.0,17115 (73.9255885),3460,346024510,Computer Engineering,JEE,AI to AI,AI
359.0,17174 (73.9255885),6220,622024210,Computer Science and Engineering,JEE,AI to AI,AI
360.0,17282 (73.8667080),3201,320137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
361.0,17442 (73.5421187),3154,315424610,Information Technology,JEE,AI to AI,AI
362.0,17482 (73.4260200),3216,321650710,Chemical Engineering,JEE,AI to AI,AI
363.0,17496 (73.4260200),6155,615537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
364.0,17498 (73.4260200),3210,321024610,Information Technology,JEE,AI to AI,AI
365.0,17512 (73.4260200),6177,617737220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
366.0,17548 (73.4260200),1101,110137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
367.0,17571 (73.3949946),3175,317524610,Information Technology,JEE,AI to AI,AI
368.0,17575 (73.3949946),6207,620737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
369.0,17773 (73.1273916),4142,414291710,Data Science,JEE,AI to AI,AI
370.0,17774 (73.1273916),4613,461361210,Mechanical Engineering,JEE,AI to AI,AI
371.0,17930 (72.8887969),6796,679637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
372.0,17948 (72.8887969),4177,417724610,Information Technology,JEE,AI to AI,AI
373.0,17993 (72.8887969),6138,613824510,Computer Engineering,JEE,AI to AI,AI
374.0,17998 (72.8849174),6769,676924510,Computer Engineering,JEE,AI to AI,AI
375.0,18149 (72.7848445),5151,515124610,Information Technology,JEE,AI to AI,AI
376.0,18173 (72.7848445),6419,641924210,Computer Science and Engineering,JEE,AI to AI,AI
377.0,18233 (72.6632578),5449,544924610,Information Technology,JEE,AI to AI,AI
378.0,18326 (72.3311071),5181,518124510,Computer Engineering,JEE,AI to AI,AI
379.0,18387 (72.2639672),6276,627646410F,"Instrumentation and Control
Engineering",JEE,AI to AI,AI
380.0,18421 (72.2639672),2113,211324210,Computer Science and Engineering,JEE,AI to AI,AI
381.0,18466 (72.1964411),6222,622291310,"Computer Science and Engineering
(Artificial Intelligence)",JEE,AI to AI,AI
382.0,18561 (72.0753904),3146,314624610,Information Technology,JEE,AI to AI,AI
383.0,18610 (72.0753904),6283,628300210,Aeronautical Engineering,JEE,AI to AI,AI
384.0,18663 (71.9640107),6298,629824610,Information Technology,JEE,AI to AI,AI
385.0,18699 (71.9640107),6311,631124610,Information Technology,JEE,AI to AI,AI
386.0,18771 (71.9628422),6268,626824210,Computer Science and Engineering,JEE,AI to AI,AI
387.0,18816 (71.9410506),4649,464961210,Mechanical Engineering,JEE,AI to AI,AI
388.0,18818 (71.9410506),6214,621461210,Mechanical Engineering,JEE,AI to AI,AI
389.0,18866 (71.9410506),6419,641991310,"Computer Science and Engineering
(Artificial Intelligence)",JEE,AI to AI,AI
390.0,18904 (71.8911882),6307,630724610,Information Technology,JEE,AI to AI,AI
391.0,18913 (71.8911882),6144,614424510,Computer Engineering,JEE,AI to AI,AI
392.0,18915 (71.7920906),3139,313937610,Electronics Engineering,JEE,AI to AI,AI
393.0,18920 (71.7920906),4181,418124510,Computer Engineering,JEE,AI to AI,AI
394.0,18938 (71.7920906),4151,415137010,"Electronics and Communication
Engineering",JEE,AI to AI,AI
395.0,18957 (71.5411222),6278,627861210,Mechanical Engineering,JEE,AI to AI,AI
396.0,18968 (71.5284584),6802,680250710,Chemical Engineering,JEE,AI to AI,AI
397.0,19006 (71.4568669),6275,627524510,Computer Engineering,JEE,AI to AI,AI
398.0,19014 (71.4109789),3201,320190010,Electronics and Computer Science,JEE,AI to AI,AI
399.0,19058 (71.4109789),5109,510924510,Computer Engineering,JEE,AI to AI,AI
400.0,19089 (71.3897523),6139,613937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
401.0,19196 (71.3023665),6288,628824210,Computer Science and Engineering,JEE,AI to AI,AI
402.0,19200 (71.3023665),2113,211301110,Agricultural Engineering,JEE,AI to AI,AI
403.0,19243 (71.3023665),3148,314837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
404.0,19421 (71.0485263),5331,533129310,Electrical Engineering,JEE,AI to AI,AI
405.0,19566 (70.9815068),6177,617719110,Civil Engineering,JEE,AI to AI,AI
406.0,19607 (70.9815068),5160,516084410,Electronics and Computer Engineering,JEE,AI to AI,AI
407.0,19637 (70.9291669),2137,213729710,Electrical and Electronics Engineering,JEE,AI to AI,AI
408.0,19656 (70.9226452),4179,417924210,Computer Science and Engineering,JEE,AI to AI,AI
409.0,19679 (70.9226452),3193,319324510,Computer Engineering,JEE,AI to AI,AI
410.0,19688 (70.8541170),4123,412325110,Computer Technology,JEE,AI to AI,AI
411.0,19709 (70.7278391),4171,417199510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
412.0,19790 (70.5058095),6185,618524610,Information Technology,JEE,AI to AI,AI
413.0,19831 (70.5058095),6267,626737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
414.0,19833 (70.5058095),6275,627524610,Information Technology,JEE,AI to AI,AI
415.0,19859 (70.5058095),6278,627819110,Civil Engineering,JEE,AI to AI,AI
416.0,20059 (70.3751491),6298,629899510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
417.0,20130 (70.2821702),6176,617637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
418.0,20290 (70.1007800),4174,417437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
419.0,20308 (70.1007800),6184,618424510,Computer Engineering,JEE,AI to AI,AI
420.0,20540 (70.0402566),6770,677024510,Computer Engineering,JEE,AI to AI,AI
421.0,20554 (70.0402566),5331,533124510,Computer Engineering,JEE,AI to AI,AI
422.0,20567 (70.0394263),3135,313561210,Mechanical Engineering,JEE,AI to AI,AI
423.0,20583 (70.0394263),6207,620729310,Electrical Engineering,JEE,AI to AI,AI
424.0,20605 (70.0394263),6780,678024210,Computer Science and Engineering,JEE,AI to AI,AI
425.0,20625 (70.0394263),5121,512119120,Civil Engineering,JEE,AI to AI,AI
426.0,20665 (69.8570446),5104,510424510,Computer Engineering,JEE,AI to AI,AI
427.0,20717 (69.8570446),1114,111424210,Computer Science and Engineering,JEE,AI to AI,AI
428.0,20769 (69.6269142),6155,615599710,Artificial Intelligence,JEE,AI to AI,AI
429.0,20790 (69.5721052),4167,416761210,Mechanical Engineering,JEE,AI to AI,AI
,,,,Computer Science and,,,
430.0,20809 (69.5721052),2114,211491110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
431.0,20882 (69.5191252),3471,347124510,Computer Engineering,JEE,AI to AI,AI
432.0,21006 (69.2311403),5162,516237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
433.0,21054 (69.2311403),5109,510924610,Information Technology,JEE,AI to AI,AI
434.0,21102 (69.2278304),4167,416719110,Civil Engineering,JEE,AI to AI,AI
435.0,21191 (69.2200654),3135,313537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
436.0,21218 (69.2200654),5121,512137220,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
437.0,21325 (68.7477964),6283,628350310,Food Technology,JEE,AI to AI,AI
438.0,21425 (68.7138181),6278,627829310,Electrical Engineering,JEE,AI to AI,AI
,,,,Computer Science and,,,
439.0,21464 (68.7138181),6250,625091110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
440.0,21478 (68.7138181),6794,679424510,Computer Engineering,JEE,AI to AI,AI
441.0,21507 (68.7138181),4197,419719110,Civil Engineering,JEE,AI to AI,AI
442.0,21541 (68.6871920),6822,682219110,Civil Engineering,JEE,AI to AI,AI
443.0,21545 (68.6871920),6769,676924610,Information Technology,JEE,AI to AI,AI
444.0,21675 (68.5968060),6634,663424510,Computer Engineering,JEE,AI to AI,AI
445.0,21880 (68.4444935),3193,319324610,Information Technology,JEE,AI to AI,AI
446.0,21885 (68.4444935),4116,411629310,Electrical Engineering,JEE,AI to AI,AI
447.0,21936 (68.3301235),6141,614129310,Electrical Engineering,JEE,AI to AI,AI
448.0,22006 (68.1937916),3183,318319110,Civil Engineering,JEE,AI to AI,AI
449.0,22123 (68.1304920),6272,627219110,Civil Engineering,JEE,AI to AI,AI
450.0,22133 (68.1304920),6250,625091210,"Computer Science and
Engineering(Data Science)",JEE,AI to AI,AI
451.0,22178 (68.0996227),3196,319637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
452.0,22181 (68.0996227),4138,413899710,Artificial Intelligence,JEE,AI to AI,AI
453.0,22230 (68.0762541),5161,516124610,Information Technology,JEE,AI to AI,AI
454.0,22263 (68.0762541),4142,414237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
455.0,22272 (68.0762541),6270,627037610,Electronics Engineering,JEE,AI to AI,AI
456.0,22509 (67.2872230),4167,416737610,Electronics Engineering,JEE,AI to AI,AI
457.0,22526 (67.2872230),3460,346092410,Data Engineering,JEE,AI to AI,AI
458.0,22591 (67.2872230),5125,512524510,Computer Engineering,JEE,AI to AI,AI
459.0,22650 (67.1691260),3194,319461210,Mechanical Engineering,JEE,AI to AI,AI
460.0,22727 (67.1137277),6177,617750710,Chemical Engineering,JEE,AI to AI,AI
461.0,22947 (67.0027134),6222,622289810,"Textile Engineering (Fashion
Technology)",JEE,AI to AI,AI
462.0,23013 (66.8716372),1101,110161210,Mechanical Engineering,JEE,AI to AI,AI
463.0,23053 (66.7783253),6770,677024610,Information Technology,JEE,AI to AI,AI
464.0,23163 (66.7783253),6278,627850710,Chemical Engineering,JEE,AI to AI,AI
465.0,23179 (66.7475854),4116,411619110,Civil Engineering,JEE,AI to AI,AI
466.0,23183 (66.7475854),3139,313946110,Bio Medical Engineering,JEE,AI to AI,AI
467.0,23364 (66.2619983),6222,622289610,Textile Technology,JEE,AI to AI,AI
468.0,23600 (66.0143085),4116,411637610,Electronics Engineering,JEE,AI to AI,AI
469.0,23613 (65.9994434),6139,613984410,Electronics and Computer Engineering,JEE,AI to AI,AI
,,,,Computer Science and,,,
470.0,23675 (65.9994434),3192,319291110,Engineering(Artificial Intelligence and,JEE,AI to AI,AI
,,,,Machine Learning),,,
471.0,23807 (65.8548294),3221,322124510,Computer Engineering,JEE,AI to AI,AI
472.0,23817 (65.8548294),4147,414724210,Computer Science and Engineering,JEE,AI to AI,AI
473.0,23882 (65.7479355),6808,680824510,Computer Engineering,JEE,AI to AI,AI
474.0,23893 (65.7479355),4116,411661210,Mechanical Engineering,JEE,AI to AI,AI
475.0,24022 (65.5495182),6269,626924210,Computer Science and Engineering,JEE,AI to AI,AI
476.0,24208 (65.2431354),3154,315491110,"Computer Science and
Engineering(Artificial Intelligence and
Machine Learning)",JEE,AI to AI,AI
477.0,24270 (65.0307172),4172,417224210,Computer Science and Engineering,JEE,AI to AI,AI
478.0,24549 (64.9085090),2134,213419110,Civil Engineering,JEE,AI to AI,AI
479.0,24550 (64.9085090),3222,322224510,Computer Engineering,JEE,AI to AI,AI
480.0,24573 (64.9085090),1107,110724210,Computer Science and Engineering,JEE,AI to AI,AI
481.0,24625 (64.9011073),6732,673299510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
482.0,24668 (64.8959321),4163,416370110,Mining Engineering,JEE,AI to AI,AI
483.0,24736 (64.7918988),6223,622324210,Computer Science and Engineering,JEE,AI to AI,AI
484.0,24787 (64.7900418),6643,664324210,Computer Science and Engineering,JEE,AI to AI,AI
485.0,24794 (64.7900418),5418,541824510,Computer Engineering,JEE,AI to AI,AI
486.0,24817 (64.5685027),6267,626729310,Electrical Engineering,JEE,AI to AI,AI
487.0,24850 (64.5685027),3467,346724510,Computer Engineering,JEE,AI to AI,AI
488.0,25049 (63.9247764),3477,347724510,Computer Engineering,JEE,AI to AI,AI
489.0,25087 (63.9247764),3203,320337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
490.0,25132 (63.9247764),3207,320737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
491.0,25140 (63.9025795),6177,617708210,Bio Technology,JEE,AI to AI,AI
492.0,25150 (63.9025795),6317,631724210,Computer Science and Engineering,JEE,AI to AI,AI
493.0,25151 (63.9025795),6281,628137210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
494.0,25294 (63.8282598),3175,317546110,Bio Medical Engineering,JEE,AI to AI,AI
495.0,25435 (63.8282598),6640,664024210,Computer Science and Engineering,JEE,AI to AI,AI
496.0,25437 (63.8282598),6284,628499510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
497.0,25520 (63.7897492),2127,212724210,Computer Science and Engineering,JEE,AI to AI,AI
,,,,Computer Science and Engineering,,,
498.0,25543 (63.7897492),3192,319292010,(Internet of Things and Cyber Security,JEE,AI to AI,AI
,,,,Including Block Chain Technology),,,
499.0,25551 (63.7496286),1126,112619110,Civil Engineering,JEE,AI to AI,AI
500.0,25571 (63.7496286),5169,516919110,Civil Engineering,JEE,AI to AI,AI
501.0,25646 (63.6696335),1101,110135610,Electrical Engg[Electronics and Power],JEE,AI to AI,AI
502.0,25694 (63.6696335),1128,112824210,Computer Science and Engineering,JEE,AI to AI,AI
503.0,25736 (63.6696335),5173,517324510,Computer Engineering,JEE,AI to AI,AI
504.0,25741 (63.6696335),6141,614119110,Civil Engineering,JEE,AI to AI,AI
505.0,25751 (63.6696335),2129,212924210,Computer Science and Engineering,JEE,AI to AI,AI
506.0,25812 (63.4977421),4123,412319110,Civil Engineering,JEE,AI to AI,AI
507.0,25842 (63.4810593),4151,415100210,Aeronautical Engineering,JEE,AI to AI,AI
508.0,25845 (63.4810593),6272,627262610,Production Engineering[Sandwich],JEE,AI to AI,AI
509.0,25920 (63.4810593),6156,615637210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
510.0,26064 (63.2129688),5177,517724510,Computer Engineering,JEE,AI to AI,AI
511.0,26069 (63.2129688),3207,320790010,Electronics and Computer Science,JEE,AI to AI,AI
512.0,26135 (63.0112156),6622,662237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
513.0,26338 (62.7368048),6177,617719120,Civil Engineering,JEE,AI to AI,AI
514.0,26373 (62.7368048),5160,516062410,Mechatronics Engineering,JEE,AI to AI,AI
515.0,26382 (62.7368048),6250,625050710,Chemical Engineering,JEE,AI to AI,AI
516.0,26403 (62.7368048),6839,683924210,Computer Science and Engineering,JEE,AI to AI,AI
517.0,26454 (62.7368048),5152,515224610,Information Technology,JEE,AI to AI,AI
518.0,26485 (62.6356061),6145,614537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
519.0,26690 (62.1723066),5172,517219110,Civil Engineering,JEE,AI to AI,AI
520.0,26692 (62.1723066),6138,613819110,Civil Engineering,JEE,AI to AI,AI
521.0,26715 (62.1723066),6267,626719110,Civil Engineering,JEE,AI to AI,AI
522.0,26730 (62.1723066),5121,512150710,Chemical Engineering,JEE,AI to AI,AI
523.0,26893 (61.8106139),6207,620791610,Automation and Robotics,JEE,AI to AI,AI
524.0,26984 (61.8068601),5396,539624510,Computer Engineering,JEE,AI to AI,AI
525.0,26989 (61.8068601),4174,417429310,Electrical Engineering,JEE,AI to AI,AI
526.0,27077 (61.7967833),1182,118229310,Electrical Engineering,JEE,AI to AI,AI
527.0,27110 (61.7967833),1105,110524610,Information Technology,JEE,AI to AI,AI
528.0,27133 (61.7967833),6277,627724510,Computer Engineering,JEE,AI to AI,AI
529.0,27172 (61.7365340),6625,662524510,Computer Engineering,JEE,AI to AI,AI
530.0,27355 (61.4689324),3183,318360210,Automobile Engineering,JEE,AI to AI,AI
531.0,27477 (61.3915184),6250,625037210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
532.0,27548 (61.2449702),6222,622288610,Man Made Textile Technology,JEE,AI to AI,AI
533.0,27586 (61.2449702),4171,417108210,Bio Technology,JEE,AI to AI,AI
534.0,27588 (61.2449702),6315,631561210,Mechanical Engineering,JEE,AI to AI,AI
535.0,27591 (61.2449702),1121,112124210,Computer Science and Engineering,JEE,AI to AI,AI
536.0,27634 (61.2449702),6176,617629310,Electrical Engineering,JEE,AI to AI,AI
537.0,27740 (60.9325994),4174,417419110,Civil Engineering,JEE,AI to AI,AI
538.0,27789 (60.9283224),6609,660924510,Computer Engineering,JEE,AI to AI,AI
539.0,27831 (60.9283224),5172,517237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
540.0,27911 (60.7106959),6184,618424610,Information Technology,JEE,AI to AI,AI
541.0,27988 (60.6136506),6265,626537610,Electronics Engineering,JEE,AI to AI,AI
542.0,27989 (60.6136506),6284,628437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
543.0,28011 (60.6136506),2533,253324210,Computer Science and Engineering,JEE,AI to AI,AI
544.0,28143 (60.3744720),4134,413424210,Computer Science and Engineering,JEE,AI to AI,AI
545.0,28190 (60.2733485),5121,512161210,Mechanical Engineering,JEE,AI to AI,AI
546.0,28198 (60.2733485),3196,319629310,Electrical Engineering,JEE,AI to AI,AI
547.0,28206 (60.2733485),5172,517229310,Electrical Engineering,JEE,AI to AI,AI
548.0,28301 (60.1411398),6797,679724210,Computer Science and Engineering,JEE,AI to AI,AI
549.0,28340 (60.1411398),4147,414724610,Information Technology,JEE,AI to AI,AI
550.0,28413 (60.1371142),2126,212624210,Computer Science and Engineering,JEE,AI to AI,AI
551.0,28436 (60.1371142),3471,347199510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
552.0,28460 (60.1371142),3200,320091110,"Computer Science and
Engineering(Artificial Intelligence and
Machine Learning)",JEE,AI to AI,AI
553.0,28471 (60.1371142),6138,613824610,Information Technology,JEE,AI to AI,AI
554.0,28516 (60.0851338),6768,676824510,Computer Engineering,JEE,AI to AI,AI
555.0,28691 (59.8178469),3175,317550710,Chemical Engineering,JEE,AI to AI,AI
556.0,28696 (59.8178469),3187,318719110,Civil Engineering,JEE,AI to AI,AI
557.0,28720 (59.6810501),6781,678161210,Mechanical Engineering,JEE,AI to AI,AI
558.0,28729 (59.4964083),3194,319461220,Mechanical Engineering,JEE,AI to AI,AI
559.0,28783 (59.4964083),4304,430424510F,Computer Engineering,JEE,AI to AI,AI
560.0,28885 (59.4364433),6815,681524510,Computer Engineering,JEE,AI to AI,AI
561.0,28943 (59.4364433),5103,510324510,Computer Engineering,JEE,AI to AI,AI
562.0,28988 (59.3689520),5160,516029310,Electrical Engineering,JEE,AI to AI,AI
563.0,29000 (59.3689520),4133,413361210,Mechanical Engineering,JEE,AI to AI,AI
564.0,29021 (59.3689520),4137,413737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
565.0,29034 (59.3689520),6317,631799510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
566.0,29266 (58.9066059),5162,516229310,Electrical Engineering,JEE,AI to AI,AI
567.0,29498 (58.7898164),6268,626850710,Chemical Engineering,JEE,AI to AI,AI
568.0,29606 (58.6924683),4104,410425110,Computer Technology,JEE,AI to AI,AI
569.0,29699 (58.3782796),6155,615591710,Data Science,JEE,AI to AI,AI
570.0,29713 (58.3466684),5330,533024610,Information Technology,JEE,AI to AI,AI
571.0,29803 (58.2063894),3200,320024610,Information Technology,JEE,AI to AI,AI
572.0,29807 (58.2063894),5121,512129320,Electrical Engineering,JEE,AI to AI,AI
573.0,29827 (58.2063894),6270,627024210,Computer Science and Engineering,JEE,AI to AI,AI
574.0,29878 (58.1319140),4147,414737210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
575.0,30222 (57.5032788),1265,126524210,Computer Science and Engineering,JEE,AI to AI,AI
576.0,30229 (57.5032788),3187,318791810,Civil and infrastructure Engineering,JEE,AI to AI,AI
577.0,30236 (57.5032788),3222,322237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
578.0,30391 (57.4239924),5172,517261210,Mechanical Engineering,JEE,AI to AI,AI
579.0,30403 (57.4239924),3189,318937210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
580.0,30414 (57.4239924),3194,319419110,Civil Engineering,JEE,AI to AI,AI
581.0,30630 (57.1182619),4179,417999510,Artificial Intelligence and Data Science,JEE,AI to AI,AI
582.0,30732 (57.0327540),3194,319437210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
583.0,30784 (57.0327540),6222,622237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
584.0,30834 (57.0233901),6222,622289510,Textile Plant Engineering,JEE,AI to AI,AI
585.0,30955 (56.9811784),3207,320760210,Automobile Engineering,JEE,AI to AI,AI
586.0,31139 (56.5877156),6755,675537210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
587.0,31171 (56.2050411),4142,414219110,Civil Engineering,JEE,AI to AI,AI
588.0,31230 (56.1546451),4144,414424210,Computer Science and Engineering,JEE,AI to AI,AI
589.0,31244 (56.1196908),6144,614424610,Information Technology,JEE,AI to AI,AI
590.0,31297 (56.1196908),6762,676224210,Computer Science and Engineering,JEE,AI to AI,AI
591.0,31390 (56.1054739),5104,510450710,Chemical Engineering,JEE,AI to AI,AI
592.0,31474 (56.1054739),5121,512121910,Robotics and Automation,JEE,AI to AI,AI
593.0,31518 (56.1054739),3218,321861210,Mechanical Engineering,JEE,AI to AI,AI
594.0,31533 (56.1054739),3190,319019110,Civil Engineering,JEE,AI to AI,AI
595.0,31570 (56.0947610),2127,212724610,Information Technology,JEE,AI to AI,AI
596.0,31657 (56.0947610),6303,630324210,Computer Science and Engineering,JEE,AI to AI,AI
597.0,31689 (55.9786086),4104,410424610,Information Technology,JEE,AI to AI,AI
598.0,31705 (55.9656403),6207,620719110,Civil Engineering,JEE,AI to AI,AI
599.0,31828 (55.9656403),1114,111424610,Information Technology,JEE,AI to AI,AI
600.0,31921 (55.9351597),4138,413819110,Civil Engineering,JEE,AI to AI,AI
601.0,31994 (55.9351597),6139,613929310,Electrical Engineering,JEE,AI to AI,AI
602.0,32038 (55.7621254),6298,629837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
603.0,32084 (55.6161188),5152,515291710,Data Science,JEE,AI to AI,AI
604.0,32100 (55.6161188),1120,112050710,Chemical Engineering,JEE,AI to AI,AI
605.0,32131 (55.6161188),4142,414261210,Mechanical Engineering,JEE,AI to AI,AI
606.0,32152 (55.6161188),6178,617837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
607.0,32343 (55.5010390),3187,318750710,Chemical Engineering,JEE,AI to AI,AI
608.0,32374 (55.5010390),5411,541161210,Mechanical Engineering,JEE,AI to AI,AI
609.0,32393 (55.4845927),6794,679424610,Information Technology,JEE,AI to AI,AI
610.0,32402 (55.4845927),4123,412337210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
611.0,32456 (55.0706796),4177,417737010,"Electronics and Communication
Engineering",JEE,AI to AI,AI
612.0,32488 (54.8724746),6265,626561210,Mechanical Engineering,JEE,AI to AI,AI
613.0,32672 (54.5210218),5104,510424610,Information Technology,JEE,AI to AI,AI
614.0,32704 (54.5210218),6285,628537210F,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
615.0,32830 (54.4854936),5125,512524610,Information Technology,JEE,AI to AI,AI
616.0,32843 (54.4854936),4145,414524210,Computer Science and Engineering,JEE,AI to AI,AI
617.0,32862 (54.4854936),3447,344724510,Computer Engineering,JEE,AI to AI,AI
618.0,32960 (54.3233046),5130,513024510,Computer Engineering,JEE,AI to AI,AI
619.0,33372 (53.5861512),1128,112824610,Information Technology,JEE,AI to AI,AI
620.0,33427 (53.5743091),6282,628229310,Electrical Engineering,JEE,AI to AI,AI
621.0,33439 (53.5743091),6268,626837210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
622.0,33454 (53.5389012),3203,320329310,Electrical Engineering,JEE,AI to AI,AI
623.0,33524 (53.5211172),6122,612237210,"Electronics and Telecommunication
Engg",JEE,AI to AI,AI
